date,wz11cd,population_all_usual_residents,area_hectares,density_ppl_per_ha
2011,E33000008,2952,10.77,274.1
2011,E33000663,377,2.89,130.4
2011,E33000664,443,1.71,259.1
2011,E33000665,339,3.92,86.5
2011,E33000666,1040,17.93,58
2011,E33000667,888,28,31.7
2011,E33000668,239,3.78,63.2
2011,E33002243,347,32.27,10.8
2011,E33002244,316,46.78,6.8
2011,E33002245,462,9.48,48.7
2011,E33002246,368,12.14,30.3
